Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,rolling_Sharpe_Ratio,rolling_Sortino_Ratio,rolling_Calmar_Ratio,rolling_Stability,rolling_Recovery_Factor,rolling_Omega_Ratio,rolling_Skewness,rolling_Kurtosis,rolling_Tail_Ratio,rolling_Alpha,rolling_Beta,rolling_Common_Sense_Ratio,rolling_Volatility,rolling_Kelly_Criterion,rolling_SQN_System_Quality_Number,rolling_K_Ratio,rolling_R_Squared,rolling_CPC_Index,rolling_VaR_Value_at_Risk,rolling_CVaR_Conditional_Value_at_Risk,rolling_Return_Standard_Deviation,rolling_AHPR_Average_Holding_Period_Return,rolling_GHPR_Geometric_Holding_Period_Return,rolling_Drawdown_Duration,rolling_Max_Drawdown_Duration,rolling_TWR_Time_Weighted_Return,rolling_MWR_Money_Weighted_Return,rolling_Ulcer_Index,rolling_MAE_Max_Adverse_Excursion,rolling_MFE_Max_Favorable_Excursion,rolling_MAR_Ratio,rolling_Information_Ratio,rolling_Treynor_Ratio,rolling_Tracking_Error,rolling_Active_Share
2024.01.24 07:45:33,25.0,XAUUSDc,buy,1.15 / 1.15,0.0,2028.856,2049.871,2024.01.24 07:45:33,filled,Range Breakout Buy,2024-01-24 07:45:33,22.0,XAUUSDc,buy,in,1.15,2030.615,0,0.0,0.0,90.05,Range Breakout Buy,-0.027574010783663703,-0.0863786190925436,-3.673982717794423,0.010270793930474989,-0.44558889386475586,0.7737608003638017,1.8930609596049528,3.272058549465009,2.541311274927858,,,1.9663670460617328,0.07971722811261772,-0.19708800358227335,-0.33304103018631737,-0.48493925453839015,,0.2280783909255737,-0.08121240166589541,-0.09117905119748884,0.07971722811261772,0.997801876292379,0.9950217132182779,1924919.0,1924919.0,-0.09949999999999981,,0.12353674217279113,,,-3.673982717794423,,,,
2024.01.24 08:18:30,26.0,XAUUSDc,sell,1.15 / 1.15,0.0,,,2024.01.24 08:18:30,filled,sl 2028.856,2024-01-24 08:18:30,23.0,XAUUSDc,sell,out,1.15,2028.57,0,0.0,-2.35,87.7,sl 2028.856,-0.04212806575901756,-0.1247122198400004,-3.955607184189417,0.01269314771933368,-0.5508284818629645,0.7345132743362831,1.9665924566075754,3.6261244479331323,2.4198042705905873,,,1.7773783580444136,0.07796272190411141,-0.184130461238895,-0.41135436663555064,-0.5599892344321205,,0.22070853416299413,-0.0810258477512239,-0.09117905119748884,0.07796272190411141,0.9967155813248717,0.9940519290257268,1926896.0,1926896.0,-0.12299999999999978,,0.12351239540297897,,,-3.955607184189417,,,,
2024.01.25 07:33:36,27.0,XAUUSDc,buy,13.28 / 13.28,0.0,2017.272,2019.054,2024.01.25 07:33:36,filled,Range Breakout Buy,2024-01-25 07:33:36,24.0,XAUUSDc,buy,in,13.28,2017.565,0,0.0,0.0,87.7,Range Breakout Buy,-0.04124302432817979,-0.11928994941217429,-3.90671197013501,0.014968083182743697,-0.5508284818629645,0.7345132743362831,2.004800535463218,3.9107988557773714,2.297736459590038,,,1.6877179304953376,0.0761733145020539,-0.18927885454862936,-0.4117078673482881,-0.6288343514868413,,0.21111251093851613,-0.0808392938365524,-0.09117905119748884,0.0761733145020539,0.9968583821368339,0.994309803599941,2010602.0,2010602.0,-0.12299999999999978,,0.12349016155143697,,,-3.90671197013501,,,,
2024.01.25 07:34:30,28.0,XAUUSDc,sell,13.28 / 13.28,0.0,,,2024.01.25 07:34:30,filled,sl 2017.272,2024-01-25 07:34:30,25.0,XAUUSDc,sell,out,13.28,2017.134,0,0.0,-5.72,81.98,sl 2017.272,-0.07580239881985412,-0.229176126636178,-4.279822250918578,0.03696243326471234,-0.8069861173309448,0.6537944284341979,2.042464972596611,4.110401681328812,2.1751039504026797,,,1.422070844038486,0.07556904635713302,-0.19708100695464786,-0.594830312574631,-0.9825205713293106,,0.17810298110483314,-0.08065273992188089,-0.09117905119748884,0.07556904635713302,0.9942716850096005,0.9917552231970668,2010656.0,2010656.0,-0.1801999999999998,,0.12636222734662445,,,-4.279822250918578,,,,
2024.01.26 00:42:38,29.0,XAUUSDc,buy,2.95 / 2.95,0.0,2020.32,2027.808,2024.01.26 00:42:38,filled,Range Breakout Buy,2024-01-26 00:42:38,26.0,XAUUSDc,buy,in,2.95,2021.31,0,0.0,0.0,81.98,Range Breakout Buy,-0.07432652222368961,-0.22000908157073087,-4.260530884571198,0.06275099788886064,-0.8069861173309448,0.6537944284341979,2.0743696865892045,4.376831914321907,2.051902815416334,,,1.3415226284076436,0.07398681152110659,-0.20143402879811928,-0.5951642442635593,-1.3047636889767495,,0.17097886186063982,-0.0804661860072094,-0.09117905119748884,0.07398681152110659,0.9945008176092165,0.9920837053772508,2072344.0,2072344.0,-0.1801999999999998,,0.12894804224958206,,,-4.260530884571198,,,,
2024.01.26 07:16:30,30.0,XAUUSDc,sell,2.95 / 2.95,0.0,,,2024.01.26 07:16:30,filled,sl 2020.320,2024-01-26 07:16:30,27.0,XAUUSDc,sell,out,2.95,2020.001,0,0.0,-3.86,78.12,sl 2020.320,-0.09730900738450932,-0.2969860022764918,-4.369233102952083,0.10959110644707358,-0.979847738468428,0.6086567698086209,2.135446804984323,4.673708796357235,1.9281290905108721,,,1.1735688240043816,0.07294929655387042,-0.19881881268892732,-0.7193686957560913,-1.7682628279261055,,0.1567343729912504,-0.08027963209253788,-0.09117905119748884,0.07294929655387042,0.9929013763629446,0.9905478748392488,2095976.0,2095976.0,-0.21879999999999977,,0.1335266294385909,,,-4.369233102952083,,,,
2024.01.30 00:39:34,31.0,XAUUSDc,buy,9.01 / 9.01,0.0,2032.772,2035.112,2024.01.30 00:39:34,filled,Range Breakout Buy,2024-01-30 00:39:34,28.0,XAUUSDc,buy,in,9.01,2033.073,0,0.0,0.0,78.12,Range Breakout Buy,-0.09554327185783226,-0.28598652071069586,-4.299484333430913,0.15662575821103591,-0.979847738468428,0.6086567698086209,2.163739622721729,4.930550747077829,1.8037787746329992,,,1.0978821624174737,0.0715457144975025,-0.20251887075278202,-0.7196255652555125,-2.1929121643593152,,0.1509293962137967,-0.08009307817786639,-0.09117905119748884,0.0715457144975025,0.9931642883495022,0.9908963551016879,2417760.0,2417760.0,-0.21879999999999977,,0.1376303180423719,,,-4.299484333430913,,,,
2024.01.30 01:04:30,32.0,XAUUSDc,sell,9.01 / 9.01,0.0,,,2024.01.30 01:04:30,filled,sl 2032.772,2024-01-30 01:04:30,29.0,XAUUSDc,sell,out,9.01,2032.56,0,0.0,-4.62,73.5,sl 2032.772,-0.12275922270978538,-0.3816370341953816,-3.7053896080224575,0.2228057689960002,-0.9999999999999999,0.5622005617049397,2.2048855361782707,5.151369949093324,1.678847829365185,,,0.9438491926862258,0.07090069549217583,-0.20385024418230416,-0.8653982216222871,-2.7427915307260777,,0.1354583449634356,-0.07990652426319488,-0.09117905119748884,0.07090069549217583,0.9912962857317973,0.9890643487749391,2419256.0,2419256.0,-0.2649999999999998,,0.14413062279949887,,,-3.7053896080224575,,,,
2024.01.31 00:03:32,33.0,XAUUSDc,buy,3.24 / 3.24,0.0,2036.658,2042.778,2024.01.31 00:03:32,filled,Range Breakout Buy,2024-01-31 00:03:32,30.0,XAUUSDc,buy,in,3.24,2037.467,0,0.0,0.0,73.5,Range Breakout Buy,-0.12066860964539616,-0.3684771364645064,-3.695710261652255,0.2825710699861827,-0.9999999999999999,0.5622005617049397,2.229013700318088,5.394187320777608,1.5533321784884386,,,0.8732842232605579,0.06964185809950138,-0.20704348090427308,-0.8655368322811473,-3.252700599789038,,0.13078736755090334,-0.07971997034852338,-0.09117905119748884,0.06964185809950138,0.9915964138100112,0.9894394418762686,2501998.0,2501998.0,-0.2649999999999998,,0.1499295029741277,,,-3.695710261652255,,,,
2024.01.31 00:42:30,34.0,XAUUSDc,sell,3.24 / 3.24,0.0,,,2024.01.31 00:42:30,filled,sl 2036.658,2024-01-31 00:42:30,31.0,XAUUSDc,sell,out,3.24,2036.249,0,0.0,-3.95,69.55,sl 2036.658,-0.1438406104899722,-0.4538160775195258,-3.2501464580431594,0.3471682154188846,-0.9999999999999998,0.5277605459057072,2.2751854553905693,5.641631647138217,1.4272277075389859,,,0.7532344740625262,0.06892942011650019,-0.20540699382897443,-0.9902794387559646,-3.82695725815829,,0.12069685065303237,-0.07953341643385187,-0.09117905119748884,0.06892942011650019,0.9900851501297228,0.987968818204618,2504336.0,2504336.0,-0.30449999999999977,,0.15754439268557502,,,-3.2501464580431594,,,,
