Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal
2025.06.18 04:33:06,541.0,XAUUSDc,buy,3.3 / 3.3,0.0,3394.516,3410.311,2025.06.18 04:33:06,filled,Range Breakout Buy,2025.06.18 04:33:06,536.0,XAUUSDc,buy,in,3.3,3396.705,0,0.0,0.0,193.35,Range Breakout Buy
2025.06.18 04:34:39,542.0,XAUUSDc,sell,3.3 / 3.3,0.0,,,2025.06.18 04:34:39,filled,sl 3394.516,2025.06.18 04:34:39,537.0,XAUUSDc,sell,out,3.3,3394.495,0,0.0,-7.29,186.06,sl 3394.516
2025.06.20 01:12:08,543.0,XAUUSDc,sell,1.48 / 1.48,0.0,3364.301,3330.461,2025.06.20 01:12:08,filled,Range Breakout Sell,2025.06.20 01:12:08,538.0,XAUUSDc,sell,in,1.48,3360.127,0,0.0,0.0,186.06,Range Breakout Sell
2025.06.20 01:47:34,544.0,XAUUSDc,buy,1.48 / 1.48,0.0,,,2025.06.20 01:47:34,filled,sl 3364.301,2025.06.20 01:47:34,539.0,XAUUSDc,buy,out,1.48,3364.313,0,0.0,-6.2,179.86,sl 3364.301
2025.06.23 00:06:07,545.0,XAUUSDc,sell,2.16 / 2.16,0.0,3372.928,3350.509,2025.06.23 00:06:07,filled,Range Breakout Sell,2025.06.23 00:06:07,540.0,XAUUSDc,sell,in,2.16,3370.233,0,0.0,0.0,179.86,Range Breakout Sell
2025.06.23 05:35:26,546.0,XAUUSDc,buy,2.16 / 2.16,0.0,,,2025.06.23 05:35:26,filled,tp 3350.509,2025.06.23 05:35:26,541.0,XAUUSDc,buy,out,2.16,3350.507,0,0.0,42.61,222.47,tp 3350.509
2025.06.24 00:03:08,547.0,XAUUSDc,sell,0.86 / 0.86,0.0,3345.218,3275.864,2025.06.24 00:03:08,filled,Range Breakout Sell,2025.06.24 00:03:08,542.0,XAUUSDc,sell,in,0.86,3337.628,0,0.0,0.0,222.47,Range Breakout Sell
2025.06.24 00:15:03,548.0,XAUUSDc,buy,0.86 / 0.86,0.0,,,2025.06.24 00:15:03,filled,sl 3345.218,2025.06.24 00:15:03,543.0,XAUUSDc,buy,out,0.86,3345.224,0,0.0,-6.53,215.94,sl 3345.218
2025.06.25 12:45:03,549.0,XAUUSDc,sell,1.84 / 1.84,0.0,3323.306,3291.77,2025.06.25 12:45:03,filled,Range Breakout Sell,2025.06.25 12:45:03,544.0,XAUUSDc,sell,in,1.84,3319.774,0,0.0,0.0,215.94,Range Breakout Sell
2025.06.25 14:30:41,550.0,XAUUSDc,buy,1.84 / 1.84,0.0,,,2025.06.25 14:30:41,filled,sl 3323.306,2025.06.25 14:30:41,545.0,XAUUSDc,buy,out,1.84,3323.309,0,0.0,-6.51,209.43,sl 3323.306
