Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,Profitable Trade,Unprofitable Trade,rolling_profitable_trade,rolling_unprofitable_trade,rolling_winrate,rolling_gross_profit,rolling_gross_loss,rolling_net,rolling_profit_factor,rolling_balance_drawdown_absolute,rolling_balance_drawdown_maximal,rolling_balance_drawdown_relative,rolling_total_deals,rolling_win_count,rolling_lose_count,rolling_total_trades,rolling_average_profit,rolling_average_loss,rolling_expected_payoff,rolling_LR_correlation,rolling_long_trades_won,rolling_short_trades_won,rolling_largest_profit_trade,rolling_largest_loss_trade,rolling_maximum_consecutive_wins,rolling_maximum_consecutive_loses,rolling_maximal_consecutive_profit,rolling_maximal_consecutive_loss,rolling_average_consecutive_wins,rolling_average_consecutive_loses
2024.06.07 02:51:38,186.0,XAUUSDc,buy,0.78 / 0.78,0.0,,,2024.06.07 02:51:38,filled,sl 2377.237,2024.06.07 02:51:38,181.0,XAUUSDc,buy,out,0.78,2377.268,0,0.0,-1.79,59.96,sl 2377.237,0,1,14,76,0.15555555555555556,145.1,-185.13999999999993,-40.040000000000035,0.7837312304202229,74.57,74.57,74.57,180,14,76,90,10.364285714285714,-2.4360526315789466,-0.4448888888888893,-0.5632635745849832,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.333333333333333
2024.06.11 01:03:07,187.0,XAUUSDc,sell,0.26 / 0.26,0.0,2310.812,2249.414,2024.06.11 01:03:07,filled,Range Breakout Sell,2024.06.11 01:03:07,182.0,XAUUSDc,sell,in,0.26,2303.927,0,0.0,0.0,59.96,Range Breakout Sell,0,0,14,76,0.15555555555555556,145.1,-185.13999999999993,-40.040000000000035,0.7837312304202229,74.57,74.57,74.57,181,14,76,90,10.364285714285714,-2.4360526315789466,-0.4448888888888893,-0.5551780875114019,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.333333333333333
2024.06.11 12:12:02,188.0,XAUUSDc,buy,0.26 / 0.26,0.0,,,2024.06.11 12:12:02,filled,sl 2310.812,2024.06.11 12:12:02,183.0,XAUUSDc,buy,out,0.26,2310.821,0,0.0,-1.79,58.17,sl 2310.812,0,1,14,77,0.15384615384615385,145.1,-186.92999999999992,-41.830000000000034,0.7762263949071848,74.57,74.57,74.57,182,14,77,91,10.364285714285714,-2.4276623376623365,-0.45967032967033006,-0.5482932871826375,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.416666666666667
2024.06.12 00:54:01,189.0,XAUUSDc,sell,1.41 / 1.41,0.0,2314.782,2303.721,2024.06.12 00:54:01,filled,Range Breakout Sell,2024.06.12 00:54:01,184.0,XAUUSDc,sell,in,1.41,2313.492,0,0.0,0.0,58.17,Range Breakout Sell,0,0,14,77,0.15384615384615385,145.1,-186.92999999999992,-41.830000000000034,0.7762263949071848,74.57,74.57,74.57,183,14,77,91,10.364285714285714,-2.4276623376623365,-0.45967032967033006,-0.5415103416205183,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.416666666666667
2024.06.12 01:54:38,190.0,XAUUSDc,buy,1.41 / 1.41,0.0,,,2024.06.12 01:54:38,filled,sl 2314.782,2024.06.12 01:54:38,185.0,XAUUSDc,buy,out,1.41,2314.804,0,0.0,-1.85,56.32,sl 2314.782,0,1,14,78,0.15217391304347827,145.1,-188.77999999999992,-43.680000000000035,0.7686195571564788,74.57,74.57,74.57,184,14,78,92,10.364285714285714,-2.420256410256409,-0.47478260869565253,-0.5358975561583191,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.5
2024.06.13 00:03:05,191.0,XAUUSDc,sell,1.38 / 1.38,0.0,2320.774,2309.821,2024.06.13 00:03:05,filled,Range Breakout Sell,2024.06.13 00:03:05,186.0,XAUUSDc,sell,in,1.38,2319.371,0,0.0,0.0,56.32,Range Breakout Sell,0,0,14,78,0.15217391304347827,145.1,-188.77999999999992,-43.680000000000035,0.7686195571564788,74.57,74.57,74.57,185,14,78,92,10.364285714285714,-2.420256410256409,-0.47478260869565253,-0.530364119066,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.5
2024.06.13 00:24:31,192.0,XAUUSDc,buy,1.38 / 1.38,0.0,,,2024.06.13 00:24:31,filled,sl 2320.774,2024.06.13 00:24:31,187.0,XAUUSDc,buy,out,1.38,2320.778,0,0.0,-1.94,54.38,sl 2320.774,0,1,14,79,0.15053763440860216,145.1,-190.7199999999999,-45.62000000000003,0.7608011744966446,74.57,74.57,74.57,186,14,79,93,10.364285714285714,-2.414177215189872,-0.4905376344086025,-0.5259879106750978,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.583333333333333
2024.06.14 00:15:02,193.0,XAUUSDc,sell,1.87 / 1.87,0.0,2302.526,2294.705,2024.06.14 00:15:02,filled,Range Breakout Sell,2024.06.14 00:15:02,188.0,XAUUSDc,sell,in,1.87,2301.623,0,0.0,0.0,54.38,Range Breakout Sell,0,0,14,79,0.15053763440860216,145.1,-190.7199999999999,-45.62000000000003,0.7608011744966446,74.57,74.57,74.57,187,14,79,93,10.364285714285714,-2.414177215189872,-0.4905376344086025,-0.5216704126276681,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.583333333333333
2024.06.14 00:19:25,194.0,XAUUSDc,buy,1.87 / 1.87,0.0,,,2024.06.14 00:19:25,filled,sl 2302.526,2024.06.14 00:19:25,189.0,XAUUSDc,buy,out,1.87,2302.559,0,0.0,-1.75,52.63,sl 2302.526,0,1,14,80,0.14893617021276595,145.1,-192.4699999999999,-47.37000000000003,0.7538837221385154,74.57,74.57,74.57,188,14,80,94,10.364285714285714,-2.405874999999999,-0.5039361702127663,-0.5183479081516696,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.666666666666667
2024.06.17 00:03:01,195.0,XAUUSDc,sell,0.68 / 0.68,0.0,2328.918,2308.092,2024.06.17 00:03:01,filled,Range Breakout Sell,2024.06.17 00:03:01,190.0,XAUUSDc,sell,in,0.68,2326.607,0,0.0,0.0,52.63,Range Breakout Sell,0,0,14,80,0.14893617021276595,145.1,-192.4699999999999,-47.37000000000003,0.7538837221385154,74.57,74.57,74.57,189,14,80,94,10.364285714285714,-2.405874999999999,-0.5039361702127663,-0.5150671766858094,6,8,18.0,-8.74,2.0,19.0,18.0,-41.31,1.2727272727272727,6.666666666666667
