7_layer_output_rolling_Sharpe_Ratio,7_layer_output_rolling_Sortino_Ratio,7_layer_output_rolling_Calmar_Ratio,7_layer_output_rolling_Stability,7_layer_output_rolling_Recovery_Factor,7_layer_output_rolling_Omega_Ratio,7_layer_output_rolling_Skewness,7_layer_output_rolling_Kurtosis,7_layer_output_rolling_Tail_Ratio,7_layer_output_rolling_Alpha,7_layer_output_rolling_Beta,7_layer_output_rolling_Common_Sense_Ratio,7_layer_output_rolling_Volatility,7_layer_output_rolling_Kelly_Criterion,7_layer_output_rolling_SQN_System_Quality_Number,7_layer_output_rolling_K_Ratio,7_layer_output_rolling_R_Squared,7_layer_output_rolling_CPC_Index,7_layer_output_rolling_VaR_Value_at_Risk,7_layer_output_rolling_CVaR_Conditional_Value_at_Risk,7_layer_output_rolling_Return_Standard_Deviation,7_layer_output_rolling_AHPR_Average_Holding_Period_Return,7_layer_output_rolling_GHPR_Geometric_Holding_Period_Return,7_layer_output_rolling_Drawdown_Duration,7_layer_output_rolling_Max_Drawdown_Duration,7_layer_output_rolling_TWR_Time_Weighted_Return,7_layer_output_rolling_MWR_Money_Weighted_Return,7_layer_output_rolling_Ulcer_Index,7_layer_output_rolling_MAE_Max_Adverse_Excursion,7_layer_output_rolling_MFE_Max_Favorable_Excursion,7_layer_output_rolling_MAR_Ratio,7_layer_output_rolling_Information_Ratio,7_layer_output_rolling_Treynor_Ratio,7_layer_output_rolling_Tracking_Error,7_layer_output_rolling_Active_Share
-0.0282201755385103,-0.0906975500471707,-4.007554335959598,0.0142899366886237,-0.4455888938647558,0.7737608003638017,1.851684089183463,2.9840664452148085,2.522822105793442,,,1.9520608517542253,0.0817865179418366,-0.1907875404055245,-0.3326705948332943,-0.5404429101028113,,0.2394823104718524,-0.0822090666190547,-0.1011457007290822,0.0817865179418366,0.997691970106998,0.9947734504699288,1467176.0,1467176.0,-0.0994999999999998,,0.1246169350449609,,,-4.007554335959598,,,,
-0.0275740107836637,-0.0863786190925436,-3.673982717794423,0.0102707939304749,-0.4455888938647558,0.7737608003638017,1.8930609596049528,3.272058549465009,2.541311274927858,,,1.9663670460617328,0.0797172281126177,-0.1970880035822733,-0.3330410301863173,-0.4849392545383901,,0.2280783909255737,-0.0812124016658954,-0.0911790511974888,0.0797172281126177,0.997801876292379,0.995021713218278,1924919.0,1924919.0,-0.0994999999999998,,0.1235367421727911,,,-3.673982717794423,,,,
-0.0421280657590175,-0.1247122198400004,-3.955607184189417,0.0126931477193336,-0.5508284818629645,0.7345132743362831,1.9665924566075756,3.626124447933132,2.419804270590588,,,1.7773783580444136,0.0779627219041114,-0.184130461238895,-0.4113543666355506,-0.5599892344321205,,0.2207085341629941,-0.0810258477512239,-0.0911790511974888,0.0779627219041114,0.9967155813248716,0.9940519290257268,1926896.0,1926896.0,-0.1229999999999997,,0.1235123954029789,,,-3.955607184189417,,,,
-0.0412430243281797,-0.1192899494121742,-3.90671197013501,0.0149680831827436,-0.5508284818629645,0.7345132743362831,2.004800535463218,3.9107988557773714,2.297736459590038,,,1.6877179304953376,0.0761733145020539,-0.1892788545486293,-0.4117078673482881,-0.6288343514868413,,0.2111125109385161,-0.0808392938365524,-0.0911790511974888,0.0761733145020539,0.996858382136834,0.994309803599941,2010602.0,2010602.0,-0.1229999999999997,,0.1234901615514369,,,-3.90671197013501,,,,
-0.0758023988198541,-0.229176126636178,-4.279822250918578,0.0369624332647123,-0.8069861173309448,0.6537944284341979,2.042464972596611,4.110401681328812,2.17510395040268,,,1.422070844038486,0.075569046357133,-0.1970810069546478,-0.594830312574631,-0.9825205713293106,,0.1781029811048331,-0.0806527399218808,-0.0911790511974888,0.075569046357133,0.9942716850096004,0.9917552231970668,2010656.0,2010656.0,-0.1801999999999998,,0.1263622273466244,,,-4.279822250918578,,,,
-0.0743265222236896,-0.2200090815707308,-4.260530884571198,0.0627509978888606,-0.8069861173309448,0.6537944284341979,2.0743696865892045,4.376831914321907,2.051902815416334,,,1.3415226284076436,0.0739868115211065,-0.2014340287981192,-0.5951642442635593,-1.3047636889767495,,0.1709788618606398,-0.0804661860072094,-0.0911790511974888,0.0739868115211065,0.9945008176092164,0.9920837053772508,2072344.0,2072344.0,-0.1801999999999998,,0.128948042249582,,,-4.260530884571198,,,,
-0.0973090073845093,-0.2969860022764918,-4.369233102952083,0.1095911064470735,-0.979847738468428,0.6086567698086209,2.135446804984323,4.673708796357235,1.928129090510872,,,1.1735688240043816,0.0729492965538704,-0.1988188126889273,-0.7193686957560913,-1.7682628279261057,,0.1567343729912504,-0.0802796320925378,-0.0911790511974888,0.0729492965538704,0.9929013763629446,0.9905478748392488,2095976.0,2095976.0,-0.2187999999999997,,0.1335266294385909,,,-4.369233102952083,,,,
-0.0955432718578322,-0.2859865207106958,-4.299484333430913,0.1566257582110359,-0.979847738468428,0.6086567698086209,2.163739622721729,4.930550747077829,1.8037787746329992,,,1.0978821624174735,0.0715457144975025,-0.202518870752782,-0.7196255652555125,-2.1929121643593152,,0.1509293962137967,-0.0800930781778663,-0.0911790511974888,0.0715457144975025,0.9931642883495022,0.990896355101688,2417760.0,2417760.0,-0.2187999999999997,,0.1376303180423719,,,-4.299484333430913,,,,
-0.1227592227097853,-0.3816370341953816,-3.7053896080224575,0.2228057689960002,-1.0,0.5622005617049397,2.2048855361782707,5.151369949093324,1.678847829365185,,,0.9438491926862258,0.0709006954921758,-0.2038502441823041,-0.8653982216222871,-2.7427915307260777,,0.1354583449634356,-0.0799065242631948,-0.0911790511974888,0.0709006954921758,0.9912962857317972,0.9890643487749392,2419256.0,2419256.0,-0.2649999999999998,,0.1441306227994988,,,-3.7053896080224575,,,,
-0.1206686096453961,-0.3684771364645064,-3.695710261652255,0.2825710699861827,-1.0,0.5622005617049397,2.229013700318088,5.394187320777608,1.5533321784884386,,,0.8732842232605579,0.0696418580995013,-0.207043480904273,-0.8655368322811473,-3.252700599789038,,0.1307873675509033,-0.0797199703485233,-0.0911790511974888,0.0696418580995013,0.9915964138100112,0.9894394418762686,2501998.0,2501998.0,-0.2649999999999998,,0.1499295029741277,,,-3.695710261652255,,,,
-0.1438406104899722,-0.4538160775195258,-3.2501464580431594,0.3471682154188846,-0.9999999999999998,0.5277605459057072,2.2751854553905693,5.641631647138217,1.427227707538986,,,0.7532344740625262,0.0689294201165001,-0.2054069938289744,-0.9902794387559646,-3.82695725815829,,0.1206968506530323,-0.0795334164338518,-0.0911790511974888,0.0689294201165001,0.9900851501297228,0.987968818204618,2504336.0,2504336.0,-0.3044999999999997,,0.157544392685575,,,-3.2501464580431594,,,,
-0.1415314095614441,-0.4391768492124444,-3.2445937722725557,0.4031781391751058,-0.9999999999999998,0.5277605459057072,2.296119968843875,5.873199783532442,1.3005302633586848,,,0.6863685617570726,0.0677942517016229,-0.2081844292986264,-0.990290082579258,-4.37236120554224,,0.1168034038577732,-0.0793468625191803,-0.0911790511974888,0.0677942517016229,0.990404983996506,0.9883546520775246,2590199.0,2590199.0,-0.3044999999999997,,0.1643488932414131,,,-3.2445937722725557,,,,
-0.1538705893445514,-0.4671427700507688,-3.038731047380681,0.4556324337350704,-1.0,0.5104244787760612,2.351188489717804,6.195644260354328,1.1732356536390434,,,0.5988481969902002,0.066804033900273,-0.1998866546324671,-1.061246482263003,-4.936885289326387,,0.1139832524835435,-0.0791603086045088,-0.0911790511974888,0.066804033900273,0.9897208239331716,0.9877284541370034,2591216.0,2591216.0,-0.3263999999999998,,0.1717432931732706,,,-3.038731047380681,,,,
-0.1515392164879795,-0.4529869285340788,-3.034596225617749,0.5010922460706094,-1.0,0.5104244787760612,2.3706871364185003,6.423255124508412,1.045339646458865,,,0.5335669441877182,0.0657762796587758,-0.2023106680761691,-1.0611810702921909,-5.483736122906435,,0.1105292145294967,-0.0789737546898373,-0.0911790511974888,0.0657762796587758,0.9900323141170148,0.9880980972424016,2676422.0,2676422.0,-0.3263999999999998,,0.1784105955543577,,,-3.034596225617749,,,,
-0.1672812526650546,-0.5056457632860841,-2.809937438385596,0.543571610589879,-1.0000000000000002,0.4902751764875379,2.421750775570671,6.718718581728034,0.916837969815231,,,0.4495028974616383,0.0649857628588662,-0.1971351690837957,-1.148929821975937,-6.059897269726134,,0.1060454773587734,-0.0787872007751658,-0.0911790511974888,0.0649857628588662,0.9891291001835748,0.98723957742828,2677796.0,2677796.0,-0.3537999999999999,,0.185945570783812,,,-2.809937438385596,,,,
-0.1648776669540037,-0.4911987414779103,-2.800574861572008,0.580758324909132,-1.0000000000000002,0.4902751764875379,2.4394591246812527,6.939971175754765,0.7877263111478546,,,0.3862026562218916,0.0640493213781294,-0.1992729104571596,-1.1487708138163024,-6.625453376787116,,0.1030156065770941,-0.0786006468604943,-0.0911790511974888,0.0640493213781294,0.9894396973211868,0.9876018913206316,2933999.0,2933999.0,-0.3537999999999999,,0.1927804169070529,,,-2.800574861572008,,,,
-0.1772782661181371,-0.5256153677446846,-2.6441968374987743,0.6147011136069053,-1.0000000000000002,0.4752129590839268,2.4897633187135035,7.249888398497481,0.6580003168566406,,,0.3126902776516057,0.063248929657601,-0.1928710778071636,-1.2197924187639078,-7.212442514138087,,0.1003677139916897,-0.0784140929458228,-0.0911790511974888,0.063248929657601,0.9887873394164726,0.9869940828048556,2934056.0,2934056.0,-0.3757999999999999,,0.2001371585244035,,,-2.6441968374987743,,,,
-0.1748573409268062,-0.5114095469948283,-2.641574514653568,0.6447123039872565,-1.0000000000000002,0.4752129590839268,2.506193181673948,7.466745076204244,0.5276555918122893,,,0.2507487751622986,0.062391522398012,-0.1947675342106726,-1.2195628813920838,-7.792541806880346,,0.0976550730729954,-0.0782275390311513,-0.0911790511974888,0.062391522398012,0.9890903842971084,0.9873433600287544,3020580.0,3020580.0,-0.3757999999999999,,0.2068555704520113,,,-2.641574514653568,,,,
